,id,name,rate,total
0,1,Bulbasaur,1/301,"3,318"
1,4,Charmander,1/336,"2,688"
2,7,Squirtle,1/385,"1,155"
3,10,Caterpie,1/346,"2,771"
4,13,Weedle,1/532,"4,796"
5,16,Pidgey,1/887,"1,774"
6,19,Rattata,1/547,"6,025"
7,23,Ekans,1/886,"2,659"
8,29,Nidoran♀,1/635,"2,542"
9,32,Nidoran♂,1/641,"2,565"
10,35,Clefairy,1/545,"1,090"
11,39,Jigglypuff,1/418,418
12,41,Zubat,1/960,"2,882"
13,43,Oddish,1/295,"2,068"
14,48,Venonat,"1/2,748","2,748"
15,50,Diglett,1/378,"1,135"
16,52,Meowth,1/564,"2,823"
17,54,Psyduck,1/795,"3,181"
18,56,Mankey,1/294,"3,241"
19,58,Growlithe,1/451,"5,867"
20,60,Poliwag,"1/1,514","1,514"
21,63,Abra,1/555,"99,362"
22,66,Machop,1/683,"5,469"
23,69,Bellsprout,1/397,"3,581"
24,72,Tentacool,1/403,"2,422"
25,74,Geodude,1/507,"2,031"
26,81,Magnemite,1/557,"103,058"
27,86,Seel,"1/1,104","1,104"
28,88,Grimer,"1/1,065","1,065"
29,90,Shellder,1/462,"2,314"
30,92,Gastly,1/470,941
31,95,Onix,1/42,810
32,98,Krabby,1/211,846
33,102,Exeggcute,1/545,"20,723"
34,104,Cubone,1/832,832
35,108,Lickitung,1/56,56
36,109,Koffing,1/347,"6,250"
37,111,Rhyhorn,1/515,"121,127"
38,113,Chansey,1/158,158
39,114,Tangela,1/498,"94,764"
40,115,Kangaskhan,1/466,933
41,116,Horsea,1/556,"1,669"
42,120,Staryu,1/516,"1,033"
43,123,Scyther,1/82,746
44,127,Pinsir,1/609,"3,046"
45,129,Magikarp,1/547,"2,739"
46,131,Lapras,1/27,27
47,133,Eevee,1/316,"6,333"
48,138,Omanyte,1/489,"124,395"
49,140,Kabuto,1/797,"1,594"
50,142,Aerodactyl,1/61,"30,874"
51,152,Chikorita,1/730,"2,920"
52,155,Cyndaquil,1/285,"2,570"
53,158,Totodile,1/305,"1,526"
54,161,Sentret,1/386,"3,475"
55,177,Natu,1/444,"4,449"
56,179,Mareep,1/396,793
57,185,Sudowoodo,1/322,"1,612"
58,190,Aipom,1/508,"3,050"
59,191,Sunkern,1/786,"1,573"
60,193,Yanma,1/449,"2,245"
61,198,Murkrow,1/540,"124,208"
62,200,Misdreavus,1/503,"2,519"
63,202,Wobbuffet,1/856,856
64,206,Dunsparce,1/488,488
65,207,Gligar,1/38,382
66,209,Snubbull,1/512,"4,099"
67,211,Qwilfish,1/293,881
68,213,Shuckle,"1/1,213","1,213"
69,215,Sneasel,1/93,837
70,216,Teddiursa,1/375,"1,878"
71,220,Swinub,1/280,"3,362"
72,227,Skarmory,1/72,801
73,228,Houndour,1/486,"4,380"
74,234,Stantler,1/574,"1,149"
75,246,Larvitar,1/516,"16,539"
76,252,Treecko,1/559,"62,689"
77,255,Torchic,1/530,"62,640"
78,258,Mudkip,1/599,"5,997"
79,261,Poochyena,1/898,"1,796"
80,263,Zigzagoon,1/395,"3,165"
81,265,Wurmple,1/830,"3,321"
82,270,Lotad,1/133,"159,322"
83,273,Seedot,1/631,"6,319"
84,276,Taillow,"1/1,070","3,210"
85,278,Wingull,1/713,"1,426"
86,280,Ralts,1/360,720
87,296,Makuhita,1/520,"4,681"
88,300,Skitty,"1/1,461","2,923"
89,304,Aron,1/276,"1,658"
90,307,Meditite,1/643,"2,574"
91,309,Electrike,1/290,"2,610"
92,311,Plusle,1/564,"3,954"
93,312,Minun,1/383,"3,835"
94,313,Volbeat,1/486,973
95,314,Illumise,1/102,308
96,315,Roselia,1/507,"156,176"
97,318,Carvanha,1/535,"1,607"
98,320,Wailmer,1/267,"1,605"
99,325,Spoink,1/571,"1,714"
100,333,Swablu,1/769,"2,308"
101,336,Seviper,1/378,757
102,339,Barboach,1/588,"3,531"
103,343,Baltoy,"1/2,243","2,243"
104,345,Lileep,1/904,"1,808"
105,347,Anorith,"1/1,224","1,224"
106,349,Feebas,1/40,245
107,351,Castform,1/778,"13,229"
108,353,Shuppet,1/428,"2,570"
109,355,Duskull,"1/1,622","1,622"
110,370,Luvdisc,1/449,"1,348"
111,371,Bagon,1/324,324
112,374,Beldum,1/452,"12,228"
113,387,Turtwig,1/546,"3,279"
114,390,Chimchar,1/565,"3,392"
115,393,Piplup,1/821,"1,643"
116,412,Burmy,1/319,319
117,427,Buneary,1/821,"3,286"
118,436,Bronzor,1/53,107
119,443,Gible,1/40,80
120,449,Hippopotas,"1/1,111","1,111"
121,451,Skorupi,1/55,110
122,453,Croagunk,1/465,"1,395"
123,459,Snover,1/265,530
124,504,Patrat,1/543,"4,348"
125,506,Lillipup,1/458,"4,584"
126,519,Pidove,1/761,"3,806"
127,527,Woobat,1/889,889
128,557,Dwebble,1/303,"1,215"
129,572,Minccino,1/599,"1,199"
